,osmid,label
0,2214329329,0.0
5,2685436161,0.0
10,5740290608,3.0
15,5748777422,2.0
20,366429477,2.0
26,5740111487,2.0
31,5811626269,2.0
36,2156215776,0.0
41,4851795625,2.0
46,2684988649,0.0
51,11500054230,3.0
56,5742791489,2.0
61,2214308288,0.0
66,5733292371,3.0
71,5806362054,3.0
76,5765066803,3.0
81,5769461879,0.0
86,5755239014,2.0
91,8366389955,3.0
96,11487052552,2.0
101,5762847538,0.0
106,8360271572,3.0
111,7762379267,3.0
116,366374491,3.0
121,8347885067,3.0
126,4197274358,0.0
131,11491771992,2.0
136,5038426994,0.0
141,5753114952,2.0
146,5753027042,2.0
151,5780709664,2.0
156,5750512210,1.0
161,366432572,2.0
166,5735565929,3.0
171,4786204082,3.0
176,5767392836,3.0
181,5748270186,1.0
186,11434786746,3.0
191,8345116785,0.0
196,5755029154,0.0
201,8344831991,3.0
206,9756807168,3.0
211,5755396543,3.0
216,5765004430,3.0
221,5740277408,3.0
226,366468377,3.0
231,5038653679,3.0
236,5750708964,0.0
241,5755083928,3.0
246,2685436326,0.0
251,2214121210,3.0
256,366451133,0.0
261,8345062360,3.0
266,10734087753,0.0
271,5769758276,2.0
276,5764930203,3.0
281,366462470,3.0
286,5742997072,3.0
291,5780874239,1.0
296,2214285461,0.0
301,7785576166,0.0
306,8348725052,0.0
311,7766358118,2.0
316,8344655704,3.0
321,5750450977,2.0
326,5780677632,3.0
331,11443215804,2.0
336,7788206766,2.0
341,5748339208,2.0
346,5750709028,0.0
351,5748360150,1.0
356,5750668703,2.0
361,366451389,2.0
366,2485881954,0.0
371,8814640139,0.0
376,5733078618,3.0
381,5764886765,3.0
386,2937562956,1.0
391,5780747171,3.0
396,5802711137,3.0
401,8359724213,3.0
406,6538988655,1.0
411,7773429003,3.0
416,7761792171,1.0
421,6643568425,3.0
426,7787946719,0.0
431,5780677565,2.0
436,8348405276,0.0
441,5780874252,1.0
446,8359738238,3.0
451,7784514925,1.0
456,5755169542,2.0
461,5752976402,2.0
466,8356440414,2.0
471,8347488285,3.0
476,5811542427,3.0
481,2685436465,0.0
486,2495944831,0.0
491,5767393992,3.0
496,11118322259,0.0
501,3648416376,0.0
506,2697696525,1.0
511,8704676873,0.0
516,8359772775,3.0
521,5786619160,2.0
526,5767169792,0.0
531,5001123756,0.0
536,4876173909,1.0
541,2685997973,2.0
546,5753320455,0.0
551,5748474147,0.0
556,7804455904,0.0
561,4851795548,1.0
566,366425947,3.0
571,11462134952,0.0
576,8371397966,2.0
581,5767267003,1.0
586,5753059217,2.0
591,8349361398,2.0
596,4103983206,0.0
601,9476330810,1.0
606,5755039716,0.0
611,5780812808,1.0
616,8359646868,3.0
621,2256623903,0.0
626,4952378023,0.0
631,12084556781,3.0
636,7803234962,1.0
641,10201179224,0.0
646,1276983211,0.0
651,5733201293,0.0
656,3116773932,0.0
661,366418202,0.0
666,4886880274,0.0
671,1834410196,0.0
676,1605338301,0.0
681,4945688723,0.0
686,5750655039,3.0
691,7802361048,0.0
696,5740633099,2.0
701,1834115869,3.0
706,2028465966,3.0
711,3664000418,0.0
716,3235930948,0.0
721,5737796977,2.0
726,8366708578,0.0
731,5769305485,3.0
736,8367496465,3.0
741,10198698478,3.0
746,5769335819,2.0
751,2333152574,0.0
756,5753359978,2.0
761,2666554792,3.0
766,3110867165,2.0
771,3541813827,1.0
776,5757826371,0.0
781,11303647313,1.0
786,5740773424,0.0
791,5750636097,3.0
796,4437354751,3.0
801,2443957364,0.0
806,5740099678,0.0
811,4030908785,0.0
816,5778390181,1.0
821,11829465625,0.0
826,5764878543,1.0
831,5742600173,3.0
836,6778378834,0.0
841,2443961297,0.0
846,366440952,0.0
851,8349350199,0.0
856,366466965,2.0
861,3388927344,0.0
866,366440160,1.0
871,5764879265,3.0
876,3297933898,3.0
881,7808870437,0.0
886,5748520722,0.0
891,11419904332,0.0
896,2952826304,0.0
901,4938463438,2.0
906,1833373335,2.0
911,366453258,2.0
916,5456094849,2.0
921,5778166605,1.0
926,5742416365,3.0
931,3137388493,0.0
936,5769390153,0.0
941,5757469103,3.0
946,5748270129,2.0
951,5733195752,3.0
956,1834409533,0.0
961,1852796141,0.0
966,1833101546,0.0
971,5733113145,0.0
976,4974340551,2.0
981,366433600,0.0
986,5742594228,3.0
991,5778117724,3.0
996,366428704,3.0
1001,5737771496,3.0
1006,5742600154,3.0
1011,5769333738,0.0
1016,366427938,0.0
1021,2635264325,0.0
1026,5752825386,0.0
1031,4592054662,0.0
1036,5614661195,0.0
1041,9822325257,0.0
1046,5735953198,0.0
1051,2956123380,3.0
1056,4952626247,0.0
1061,5753337085,3.0
1066,8359610553,0.0
1071,8361605692,2.0
1076,5735458215,3.0
1081,366447710,0.0
1086,5753225422,2.0
1091,3110290541,0.0
1096,12073255184,3.0
1101,8366121637,2.0
1106,3641987830,3.0
1111,8360730265,3.0
1116,11393974475,0.0
1121,366415574,0.0
1126,3216188867,3.0
1131,6789304774,3.0
1136,7738760422,0.0
1141,2776784764,2.0
1146,2666554983,0.0
1151,9417468295,0.0
1156,10883435216,0.0
1161,5154367740,0.0
1166,2335031789,0.0
1171,5767600948,3.0
1176,5748797472,3.0
1181,5769895779,3.0
1186,5769742326,0.0
1191,10878649278,1.0
1196,5757800631,3.0
1201,8152566784,0.0
1206,1834410234,0.0
1211,8359503671,3.0
1216,5755066026,2.0
1221,5762744181,3.0
1226,8359936368,2.0
1231,5762723925,0.0
1236,1834407904,3.0
1241,366476412,2.0
1246,3706401495,2.0
1251,6660342194,0.0
1256,5755050700,0.0
1261,5738429832,1.0
1266,8366926990,2.0
1271,5743041100,2.0
1276,8348984217,0.0
1281,6786293413,3.0
1286,9369014868,0.0
1291,5772276237,0.0
1296,4448603669,3.0
1301,5742699266,2.0
1306,7795285008,0.0
1311,8813752218,3.0
1316,5748520292,0.0
1321,8366535496,0.0
1326,5765040410,0.0
1331,11409478343,1.0
1336,11768875145,0.0
1338,5735273708,1.0
1343,8360768677,0.0
1348,1854295659,0.0
1353,11559830405,3.0
1358,3108021108,0.0
1363,3632301754,3.0
1368,3137388736,2.0
1373,366411445,0.0
1378,12121477217,0.0
1383,7819017353,1.0
1388,7802616343,3.0
1393,8360761541,3.0
1398,10886672846,0.0
1403,5769474391,3.0
1408,4952269920,0.0
1413,6627597056,0.0
1418,5475834133,1.0
1422,9553260063,0.0
1427,8347484824,0.0
1432,5738575698,3.0
1437,4592566621,2.0
1442,5097249228,0.0
1447,5733276313,3.0
1452,11428588979,1.0
1457,11957255478,0.0
1462,2623046390,0.0
1467,2635178216,0.0
1472,2940186878,1.0
1477,8356758953,3.0
1482,11502413264,0.0
1487,7773909104,0.0
1492,6660654335,0.0
1497,1833373585,0.0
1502,5748131909,2.0
1507,5769562264,2.0
1512,5758017686,3.0
1517,5676244363,1.0
1522,8359744710,0.0
1527,2964936843,0.0
1532,1833101208,0.0
1537,4947228898,0.0
1542,8366958332,0.0
1547,7767156387,3.0
1552,5765436133,1.0
1557,10886672137,0.0
1562,6855606308,0.0
1567,5764897035,0.0
1572,3217663933,3.0
1577,2942938268,1.0
1582,2692325264,0.0
1587,5748258164,2.0
1592,366469590,3.0
1597,5769422607,0.0
1602,5025884933,2.0
1607,6738937046,1.0
1612,4453412534,0.0
1617,5757746761,3.0
1622,5753533013,3.0
1627,5767300302,0.0
1632,3379560948,0.0
1637,2276916500,0.0
1642,5769838566,3.0
1647,5009190689,2.0
1652,5006804359,3.0
1657,1958801238,2.0
1662,6001010526,3.0
1667,4992051396,3.0
1672,8359550810,2.0
1677,4865522783,2.0
1682,5797537676,0.0
1687,4703235735,0.0
1692,10106097844,3.0
1698,6726995497,0.0
1703,1802527881,2.0
1708,5009736502,3.0
1713,10309287983,0.0
1718,3339874651,2.0
1723,366412391,2.0
1728,4952170648,3.0
1733,5811643961,2.0
1738,5025885168,3.0
1743,5075577608,3.0
1748,5757766653,3.0
1753,3379526528,0.0
1758,5023973273,3.0
1763,2394646427,1.0
1768,2386055132,0.0
1773,4952170694,0.0
1778,5758104326,3.0
1783,5769883850,2.0
1788,5009736720,3.0
1793,5738197412,3.0
1798,2620586799,3.0
1803,5748510180,0.0
1808,5021920838,3.0
1813,8813499223,0.0
1818,3382851042,3.0
1823,366457158,2.0
1828,6713110216,1.0
1833,4952170131,3.0
1838,11489955543,2.0
1843,5767211868,0.0
1848,366457258,3.0
1853,5023973456,0.0
1858,4943402284,3.0
1863,5750725041,0.0
1868,1802527554,3.0
1873,4979902456,3.0
1878,5783388374,0.0
1883,4979902470,3.0
1888,2621185770,3.0
1893,6713221679,0.0
1898,8359650410,3.0
1903,5737827280,3.0
1908,3378949996,3.0
1913,4952170191,2.0
1918,5075577401,2.0
1923,4528273113,3.0
1928,5750754568,0.0
1933,5076456279,3.0
1938,5765047122,0.0
1943,5771995747,2.0
1948,7793207096,0.0
1953,3702561888,0.0
1958,5811289674,0.0
1963,7802375336,0.0
1968,2153158338,0.0
1973,2153156657,0.0
1978,5802608569,0.0
1983,5811960463,2.0
1988,5752848264,0.0
1993,5812003046,2.0
1998,11465245596,0.0
2003,5806323043,0.0
2008,8366157373,0.0
2013,2153158102,0.0
2018,5168392961,0.0
2023,2685436159,0.0
2028,8375273672,0.0
2033,2269238618,0.0
2038,5811530876,0.0
2043,5786019729,2.0
2048,3191432965,1.0
2053,7757507250,0.0
2058,12178883274,0.0
2063,366237943,1.0
2069,5598941861,0.0
2074,7920109172,0.0
2079,8008864975,0.0
2084,3149148269,3.0
2089,5803023570,0.0
2094,6627537767,2.0
2099,6627439055,0.0
2104,11486091856,0.0
2109,6447203567,0.0
2114,4974587796,0.0
2119,4986046101,0.0
2124,1929545497,2.0
2129,5681290929,2.0
2134,6449013853,0.0
2139,2495870425,3.0
2144,5802590392,2.0
2149,6449960918,2.0
2154,1757002977,0.0
2159,6420478643,2.0
2164,2685998134,0.0
2169,6433605068,0.0
2174,6466240252,3.0
2179,2783206391,0.0
2184,2042473430,0.0
2189,366450196,0.0
2194,11939288301,0.0
2199,4658501864,0.0
2204,4551358601,3.0
2209,6251772700,3.0
2214,366424990,2.0
2219,4217007525,0.0
2224,8347696692,0.0
2229,6791442352,0.0
2234,4983065188,3.0
2239,366427004,1.0
2244,4988324879,3.0
2249,5674570643,3.0
2254,4535195825,3.0
