,node_id,node_index,iteration,current_vector
0,2684988766,37967,1,"  (37940, 0)	0.3333333333333333
  (37972, 0)	0.25
  (41346, 0)	0.3333333333333333"
1,2684988766,37967,2,"  (37921, 0)	0.1111111111111111
  (37945, 0)	0.1111111111111111
  (37962, 0)	0.08333333333333333
  (37967, 0)	0.3055555555555555
  (37985, 0)	0.08333333333333333
  (41343, 0)	0.08333333333333333
  (41345, 0)	0.19444444444444442"
2,2684988766,37967,3,"  (37908, 0)	0.037037037037037035
  (37924, 0)	0.037037037037037035
  (37940, 0)	0.1759259259259259
  (37948, 0)	0.037037037037037035
  (37952, 0)	0.06481481481481481
  (37966, 0)	0.027777777777777776
  (37972, 0)	0.16666666666666663
  (37977, 0)	0.020833333333333332
  (37987, 0)	0.08333333333333333
  (37989, 0)	0.020833333333333332
  (41344, 0)	0.09259259259259257
  (41346, 0)	0.1944444444444444
  (41347, 0)	0.027777777777777776"
3,2684988766,37967,4,"  (37905, 0)	0.037037037037037035
  (37912, 0)	0.009259259259259259
  (37917, 0)	0.012345679012345678
  (37921, 0)	0.08333333333333331
  (37933, 0)	0.024691358024691357
  (37945, 0)	0.09259259259259257
  (37955, 0)	0.012345679012345678
  (37956, 0)	0.030864197530864196
  (37962, 0)	0.08641975308641973
  (37967, 0)	0.1790123456790123
  (37970, 0)	0.012152777777777776
  (37977, 0)	0.006944444444444444
  (37983, 0)	0.010416666666666666
  (37985, 0)	0.08159722222222221
  (37986, 0)	0.006944444444444444
  (41343, 0)	0.09336419753086417
  (41344, 0)	0.009259259259259259
  (41345, 0)	0.15123456790123452
  (41347, 0)	0.03780864197530863
  (64076, 0)	0.020833333333333332"
4,2684988766,37967,5,"  (37907, 0)	0.0030864197530864196
  (37908, 0)	0.04320987654320987
  (37912, 0)	0.0030864197530864196
  (37917, 0)	0.0030864197530864196
  (37920, 0)	0.0030864197530864196
  (37924, 0)	0.04012345679012345
  (37932, 0)	0.004115226337448559
  (37937, 0)	0.008230452674897118
  (37940, 0)	0.11831275720164605
  (37946, 0)	0.004115226337448559
  (37948, 0)	0.04320987654320987
  (37952, 0)	0.0699588477366255
  (37954, 0)	0.030864197530864196
  (37955, 0)	0.004050925925925925
  (37966, 0)	0.04314557613168723
  (37970, 0)	0.004822530864197531
  (37972, 0)	0.12750771604938269
  (37975, 0)	0.004050925925925925
  (37977, 0)	0.03843557098765431
  (37980, 0)	0.0026041666666666665
  (37983, 0)	0.003472222222222222
  (37984, 0)	0.0023148148148148147
  (37985, 0)	0.009452160493827157
  (37986, 0)	0.003472222222222222
  (37987, 0)	0.08159722222222221
  (37989, 0)	0.029947916666666664
  (41343, 0)	0.005401234567901234
  (41344, 0)	0.09413580246913576
  (41345, 0)	0.0030864197530864196
  (41346, 0)	0.137281378600823
  (41347, 0)	0.0326003086419753"
5,2684984875,37788,1,"  (37789, 0)	0.3333333333333333"
6,2684984875,37788,2,"  (37787, 0)	0.08333333333333333
  (37788, 0)	0.3333333333333333
  (37792, 0)	0.1111111111111111"
7,2684984875,37788,3,"  (37786, 0)	0.027777777777777776
  (37789, 0)	0.17592592592592593
  (37790, 0)	0.05555555555555555
  (37793, 0)	0.037037037037037035
  (53924, 0)	0.027777777777777776
  (53927, 0)	0.041666666666666664"
8,2684984875,37788,4,"  (33177, 0)	0.018518518518518517
  (37787, 0)	0.06828703703703705
  (37788, 0)	0.17592592592592593
  (37791, 0)	0.012345679012345678
  (37792, 0)	0.08950617283950617
  (53684, 0)	0.009259259259259259
  (53911, 0)	0.027777777777777776
  (53922, 0)	0.041666666666666664
  (53923, 0)	0.027777777777777776
  (53926, 0)	0.009259259259259259
  (62921, 0)	0.05555555555555555"
9,2684984875,37788,5,"  (37786, 0)	0.03510802469135803
  (37789, 0)	0.11123971193415638
  (37790, 0)	0.07253086419753085
  (37793, 0)	0.040123456790123455
  (53685, 0)	0.0030864197530864196
  (53689, 0)	0.004115226337448559
  (53912, 0)	0.006172839506172839
  (53924, 0)	0.03510802469135803
  (53925, 0)	0.0030864197530864196
  (53927, 0)	0.05497685185185186
  (57655, 0)	0.009259259259259259
  (59380, 0)	0.012345679012345678
  (59937, 0)	0.0030864197530864196"
10,8344473959,92595,1,"  (92596, 0)	0.3333333333333333"
11,8344473959,92595,2,"  (74476, 0)	0.1111111111111111
  (92595, 0)	0.3333333333333333
  (92700, 0)	0.1111111111111111"
12,8344473959,92595,3,"  (74477, 0)	0.037037037037037035
  (74478, 0)	0.037037037037037035
  (92596, 0)	0.18518518518518517
  (92701, 0)	0.037037037037037035
  (92702, 0)	0.037037037037037035"
13,8344473959,92595,4,"  (33272, 0)	0.009259259259259259
  (74463, 0)	0.037037037037037035
  (74473, 0)	0.012345679012345678
  (74474, 0)	0.037037037037037035
  (74475, 0)	0.037037037037037035
  (74476, 0)	0.08641975308641975
  (74563, 0)	0.012345679012345678
  (92595, 0)	0.18518518518518517
  (92700, 0)	0.08641975308641975
  (92701, 0)	0.012345679012345678
  (92702, 0)	0.012345679012345678"
14,8344473959,92595,5,"  (41389, 0)	0.0030864197530864196
  (47679, 0)	0.0030864197530864196
  (48065, 0)	0.0030864197530864196
  (73743, 0)	0.012345679012345678
  (74472, 0)	0.012345679012345678
  (74474, 0)	0.012345679012345678
  (74475, 0)	0.012345679012345678
  (74476, 0)	0.004115226337448559
  (74477, 0)	0.04526748971193415
  (74478, 0)	0.03600823045267489
  (74562, 0)	0.012345679012345678
  (92596, 0)	0.11934156378600821
  (92700, 0)	0.004115226337448559
  (92701, 0)	0.04526748971193415
  (92702, 0)	0.04526748971193415
  (94501, 0)	0.004115226337448559"
15,8814827976,62499,1,"  (51477, 0)	0.3333333333333333"
16,8814827976,62499,2,"  (51476, 0)	0.1111111111111111
  (51485, 0)	0.1111111111111111
  (62499, 0)	0.3333333333333333"
17,8814827976,62499,3,"  (51048, 0)	0.037037037037037035
  (51462, 0)	0.037037037037037035
  (51475, 0)	0.1111111111111111
  (51477, 0)	0.18518518518518517
  (51484, 0)	0.1111111111111111"
18,8814827976,62499,4,"  (51456, 0)	0.012345679012345678
  (51459, 0)	0.012345679012345678
  (51476, 0)	0.13580246913580246
  (51485, 0)	0.08641975308641975
  (51493, 0)	0.012345679012345678
  (62499, 0)	0.18518518518518517
  (64205, 0)	0.012345679012345678"
19,8814827976,62499,5,"  (51048, 0)	0.037037037037037035
  (51049, 0)	0.004115226337448559
  (51455, 0)	0.004115226337448559
  (51457, 0)	0.004115226337448559
  (51458, 0)	0.004115226337448559
  (51460, 0)	0.004115226337448559
  (51461, 0)	0.004115226337448559
  (51462, 0)	0.037037037037037035
  (51475, 0)	0.13580246913580246
  (51477, 0)	0.13580246913580246
  (51484, 0)	0.13580246913580246
  (59575, 0)	0.012345679012345678
  (64204, 0)	0.012345679012345678"
20,7787811302,59315,1,"  (59314, 0)	0.3333333333333333"
21,7787811302,59315,2,"  (59302, 0)	0.1111111111111111
  (59315, 0)	0.3333333333333333
  (60806, 0)	0.1111111111111111"
22,7787811302,59315,3,"  (40399, 0)	0.037037037037037035
  (59303, 0)	0.1111111111111111
  (59314, 0)	0.18518518518518517
  (60805, 0)	0.1111111111111111
  (64122, 0)	0.037037037037037035"
23,7787811302,59315,4,"  (32535, 0)	0.012345679012345678
  (33252, 0)	0.012345679012345678
  (55876, 0)	0.012345679012345678
  (59302, 0)	0.1111111111111111
  (59315, 0)	0.18518518518518517
  (60806, 0)	0.1111111111111111
  (64121, 0)	0.012345679012345678"
24,7787811302,59315,5,"  (33419, 0)	0.004115226337448559
  (40399, 0)	0.04526748971193415
  (57495, 0)	0.004115226337448559
  (59303, 0)	0.1111111111111111
  (59314, 0)	0.13580246913580246
  (59359, 0)	0.004115226337448559
  (59865, 0)	0.004115226337448559
  (60782, 0)	0.004115226337448559
  (60787, 0)	0.004115226337448559
  (60805, 0)	0.1111111111111111
  (64122, 0)	0.04526748971193416
  (64123, 0)	0.004115226337448559
  (64124, 0)	0.004115226337448559"
25,7766382463,91228,1,"  (74318, 0)	0.3333333333333333
  (74319, 0)	0.25
  (91229, 0)	0.3333333333333333"
26,7766382463,91228,2,"  (66384, 0)	0.1111111111111111
  (74277, 0)	0.1111111111111111
  (74290, 0)	0.08333333333333333
  (91223, 0)	0.1111111111111111
  (91228, 0)	0.3055555555555555
  (93890, 0)	0.08333333333333333
  (94557, 0)	0.08333333333333333
  (99992, 0)	0.1111111111111111"
27,7766382463,91228,3,"  (74278, 0)	0.1111111111111111
  (74279, 0)	0.027777777777777776
  (74312, 0)	0.037037037037037035
  (74318, 0)	0.1759259259259259
  (74319, 0)	0.13888888888888887
  (74320, 0)	0.027777777777777776
  (91204, 0)	0.027777777777777776
  (91224, 0)	0.1111111111111111
  (91229, 0)	0.1759259259259259
  (91230, 0)	0.037037037037037035
  (93874, 0)	0.08333333333333333
  (93889, 0)	0.08333333333333333
  (94484, 0)	0.037037037037037035
  (94556, 0)	0.027777777777777776
  (94582, 0)	0.037037037037037035
  (99990, 0)	0.1111111111111111
  (99991, 0)	0.1111111111111111"
28,7766382463,91228,4,"  (66384, 0)	0.08333333333333331
  (74277, 0)	0.10802469135802467
  (74289, 0)	0.012345679012345678
  (74290, 0)	0.08333333333333331
  (74291, 0)	0.027777777777777776
  (74292, 0)	0.018518518518518517
  (74316, 0)	0.024691358024691357
  (74317, 0)	0.012345679012345678
  (74321, 0)	0.027777777777777776
  (75177, 0)	0.009259259259259259
  (91205, 0)	0.027777777777777776
  (91223, 0)	0.10802469135802467
  (91228, 0)	0.16358024691358022
  (91230, 0)	0.012345679012345678
  (93818, 0)	0.009259259259259259
